Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,Tennessee,,,Wetland:Palustrine Emergent,,,Lateral Transport: AG Very Fast -> Aquatic [Type],,-0.009597330317737,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,Lateral Transport: BG Slow -> Aquatic [Type],,-0.0068705170479459,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,Lateral Transport: BG Very Fast -> Aquatic [Type],,-0.0051798946063155,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,Decay: AG Very Fast -> BG Slow [Type],,0.0,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,BG Slow ->,,0.0214663936731719,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,Net Growth Wetland Emergent: Atmosphere -> Foliage [Type],,0.162498372042828,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,Stabilization: BG Slow -> Deep Soil [Type],,0.284122060981013,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,Decay: BG Very Fast -> BG Slow [Type],,0.460277552733333,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,Emission: BG Very Fast -> Atmosphere [Type],,0.544902341872982,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,AG Very Fast ->,,0.604545066839696,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,BG Very Fast ->,,0.650509017878053,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,Emission: BG Slow -> Atmosphere [Type],,0.722748456066932,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,Net Growth Wetland Emergent: Atmosphere -> Fine Roots [Type],,0.837501627957171,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.863353377369715,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.870459464551895,,,,,
,,Tennessee,,,Wetland:Palustrine Emergent,,,Emission: AG Very Fast -> Atmosphere [Type],,1.00959733031773,,,,,
,,Tennessee,,,Agriculture:All,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.01,,,,,
,,Tennessee,,,Agriculture:All,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.01,,,,,
,,Tennessee,,,Agriculture:All,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.3205,,,,,
,,Tennessee,,,Agriculture:All,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.3205,,,,,
,,Tennessee,,,Agriculture:All,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.15,,,,,
,,Tennessee,,,Agriculture:All,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0067,,,,,
,,Tennessee,,,Agriculture:All,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,Tennessee,,,Agriculture:All,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,Tennessee,,,Agriculture:All,,,Decay: AG Fast -> AG Slow [Type],,0.0435,,,,,
,,Tennessee,,,Agriculture:All,,,Decay: AG Medium -> AG Slow [Type],,0.0113,,,,,
,,Tennessee,,,Agriculture:All,,,Decay: AG Very Fast -> AG Slow [Type],,0.1479,,,,,
,,Tennessee,,,Agriculture:All,,,Decay: BG Fast -> BG Slow [Type],,0.0435,,,,,
,,Tennessee,,,Agriculture:All,,,Decay: BG Very Fast -> BG Slow [Type],,0.1514,,,,,
,,Tennessee,,,Agriculture:All,,,Decay: Snag Branch -> AG Slow [Type],,0.0217,,,,,
,,Tennessee,,,Agriculture:All,,,Decay: Snag Stem -> AG Slow [Type],,0.0057,,,,,
,,Tennessee,,,Agriculture:All,,,Emission: AG Fast -> Atmosphere [Type],,0.2122,,,,,
,,Tennessee,,,Agriculture:All,,,Emission: AG Medium -> Atmosphere [Type],,0.0553,,,,,
,,Tennessee,,,Agriculture:All,,,Emission: AG Slow -> Atmosphere [Type],,0.0338,,,,,
,,Tennessee,,,Agriculture:All,,,Emission: AG Very Fast -> Atmosphere [Type],,0.6516,,,,,
,,Tennessee,,,Agriculture:All,,,Emission: BG Fast -> Atmosphere [Type],,0.2122,,,,,
,,Tennessee,,,Agriculture:All,,,Emission: BG Slow -> Atmosphere [Type],,0.0033,,,,,
,,Tennessee,,,Agriculture:All,,,Emission: BG Very Fast -> Atmosphere [Type],,0.7393,,,,,
,,Tennessee,,,Agriculture:All,,,Emission: Snag Branch -> Atmosphere [Type],,0.1061,,,,,
,,Tennessee,,,Agriculture:All,,,Emission: Snag Stem -> Atmosphere [Type],,0.0276,,,,,
,,Tennessee,,,Agriculture:All,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,Tennessee,,,Agriculture:All,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,Tennessee,,,Agriculture:All,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,Tennessee,,,Grassland:All,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.02,,,,,
,,Tennessee,,,Grassland:All,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.02,,,,,
,,Tennessee,,,Grassland:All,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.25,,,,,
,,Tennessee,,,Grassland:All,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.25,,,,,
,,Tennessee,,,Grassland:All,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.5,,,,,
,,Tennessee,,,Grassland:All,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0,,,,,
,,Tennessee,,,Grassland:All,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,Tennessee,,,Grassland:All,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,Tennessee,,,Grassland:All,,,Decay: AG Fast -> AG Slow [Type],,0.024,,,,,
,,Tennessee,,,Grassland:All,,,Decay: AG Medium -> AG Slow [Type],,0.0062,,,,,
,,Tennessee,,,Grassland:All,,,Decay: AG Very Fast -> AG Slow [Type],,0.064,,,,,
,,Tennessee,,,Grassland:All,,,Decay: BG Fast -> BG Slow [Type],,0.024,,,,,
,,Tennessee,,,Grassland:All,,,Decay: BG Very Fast -> BG Slow [Type],,0.0835,,,,,
,,Tennessee,,,Grassland:All,,,Decay: Snag Branch -> AG Slow [Type],,0.012,,,,,
,,Tennessee,,,Grassland:All,,,Decay: Snag Stem -> AG Slow [Type],,0.0031,,,,,
,,Tennessee,,,Grassland:All,,,Emission: AG Fast -> Atmosphere [Type],,0.117,,,,,
,,Tennessee,,,Grassland:All,,,Emission: AG Medium -> Atmosphere [Type],,0.0305,,,,,
,,Tennessee,,,Grassland:All,,,Emission: AG Slow -> Atmosphere [Type],,0.0146,,,,,
,,Tennessee,,,Grassland:All,,,Emission: AG Very Fast -> Atmosphere [Type],,0.2822,,,,,
,,Tennessee,,,Grassland:All,,,Emission: BG Fast -> Atmosphere [Type],,0.117,,,,,
,,Tennessee,,,Grassland:All,,,Emission: BG Slow -> Atmosphere [Type],,0.0033,,,,,
,,Tennessee,,,Grassland:All,,,Emission: BG Very Fast -> Atmosphere [Type],,0.4077,,,,,
,,Tennessee,,,Grassland:All,,,Emission: Snag Branch -> Atmosphere [Type],,0.0585,,,,,
,,Tennessee,,,Grassland:All,,,Emission: Snag Stem -> Atmosphere [Type],,0.0152,,,,,
,,Tennessee,,,Grassland:All,,,Net Growth Grassland: Atmosphere -> Coarse Roots [Type],,0.0,,,,,
,,Tennessee,,,Grassland:All,,,Net Growth Grassland: Atmosphere -> Fine Roots [Type],,0.535,,,,,
,,Tennessee,,,Grassland:All,,,Net Growth Grassland: Atmosphere -> Foliage [Type],,0.465,,,,,
,,Tennessee,,,Grassland:All,,,Net Growth Grassland: Atmosphere -> Merchantable [Type],,0.0,,,,,
,,Tennessee,,,Grassland:All,,,Net Growth Grassland: Atmosphere -> Other Wood [Type],,0.0,,,,,
,,Tennessee,,,Grassland:All,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,Tennessee,,,Grassland:All,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,Tennessee,,,Grassland:All,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,Tennessee,,,Shrubland:All,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.02,,,,,
,,Tennessee,,,Shrubland:All,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.02,,,,,
,,Tennessee,,,Shrubland:All,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.2499,,,,,
,,Tennessee,,,Shrubland:All,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.2499,,,,,
,,Tennessee,,,Shrubland:All,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.4575,,,,,
,,Tennessee,,,Shrubland:All,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0,,,,,
,,Tennessee,,,Shrubland:All,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,Tennessee,,,Shrubland:All,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,Tennessee,,,Shrubland:All,,,Decay: AG Fast -> AG Slow [Type],,0.0298,,,,,
,,Tennessee,,,Shrubland:All,,,Decay: AG Medium -> AG Slow [Type],,0.0078,,,,,
,,Tennessee,,,Shrubland:All,,,Decay: AG Very Fast -> AG Slow [Type],,0.0871,,,,,
,,Tennessee,,,Shrubland:All,,,Decay: BG Fast -> BG Slow [Type],,0.0298,,,,,
,,Tennessee,,,Shrubland:All,,,Decay: BG Very Fast -> BG Slow [Type],,0.1039,,,,,
,,Tennessee,,,Shrubland:All,,,Decay: Snag Branch -> AG Slow [Type],,0.0149,,,,,
,,Tennessee,,,Shrubland:All,,,Decay: Snag Stem -> AG Slow [Type],,0.0039,,,,,
,,Tennessee,,,Shrubland:All,,,Emission: AG Fast -> Atmosphere [Type],,0.1455,,,,,
,,Tennessee,,,Shrubland:All,,,Emission: AG Medium -> Atmosphere [Type],,0.0379,,,,,
,,Tennessee,,,Shrubland:All,,,Emission: AG Slow -> Atmosphere [Type],,0.0199,,,,,
,,Tennessee,,,Shrubland:All,,,Emission: AG Very Fast -> Atmosphere [Type],,0.3836,,,,,
,,Tennessee,,,Shrubland:All,,,Emission: BG Fast -> Atmosphere [Type],,0.1455,,,,,
,,Tennessee,,,Shrubland:All,,,Emission: BG Slow -> Atmosphere [Type],,0.0033,,,,,
,,Tennessee,,,Shrubland:All,,,Emission: BG Very Fast -> Atmosphere [Type],,0.5071,,,,,
,,Tennessee,,,Shrubland:All,,,Emission: Snag Branch -> Atmosphere [Type],,0.0728,,,,,
,,Tennessee,,,Shrubland:All,,,Emission: Snag Stem -> Atmosphere [Type],,0.019,,,,,
,,Tennessee,,,Shrubland:All,,,Net Growth Shrubland: Atmosphere -> Coarse Roots [Type],,0.0727,,,,,
,,Tennessee,,,Shrubland:All,,,Net Growth Shrubland: Atmosphere -> Fine Roots [Type],,0.4622,,,,,
,,Tennessee,,,Shrubland:All,,,Net Growth Shrubland: Atmosphere -> Foliage [Type],,0.3922,,,,,
,,Tennessee,,,Shrubland:All,,,Net Growth Shrubland: Atmosphere -> Merchantable [Type],,0.0,,,,,
,,Tennessee,,,Shrubland:All,,,Net Growth Shrubland: Atmosphere -> Other Wood [Type],,0.0727,,,,,
,,Tennessee,,,Shrubland:All,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,Tennessee,,,Shrubland:All,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,Tennessee,,,Shrubland:All,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
