Iteration,Timestep,FromStratumID,FromSecondaryStratumID,FromTertiaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToStratumID,ToStateClassID,ToAgeMin,ToStockTypeID,TransitionGroupID,StateAttributeTypeID,FlowTypeID,TargetType,Multiplier,TransferToStratumID,TransferToSecondaryStratumID,TransferToTertiaryStratumID,TransferToStateClassID,TransferToAgeMin
,,,,,Wetland:Palustrine Emergent,,Atmosphere,,,,Biomass: Fine Root,,NPP,Net Growth Wetland Emergent: Atmosphere -> Fine Roots,,1.0,,,,,
,,,,,Wetland:Palustrine Emergent,,Atmosphere,,,,Biomass: Foliage,,NPP,Net Growth Wetland Emergent: Atmosphere -> Foliage,,1.0,,,,,
,,,,,Wetland:Palustrine Emergent,,Biomass: Fine Root,,,,DOM: Belowground Very Fast,,,Biomass Turnover: Fine Roots -> BG Very Fast,,1.0,,,,,
,,,,,Wetland:Palustrine Emergent,,Biomass: Foliage,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Foliage -> AG Very Fast,,1.0,,,,,
,,,,,Wetland:Palustrine Emergent,,DOM: Aboveground Very Fast,,,,Aquatic,,,Lateral Transport: AG Very Fast -> Aquatic,,1.0,,,,,
,,,,,Wetland:Palustrine Emergent,,DOM: Aboveground Very Fast,,,,Atmosphere,,,Emission: AG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Wetland:Palustrine Emergent,,DOM: Aboveground Very Fast,,,,DOM: Belowground Slow,,,Decay: AG Very Fast -> BG Slow,,1.0,,,,,
,,,,,Wetland:Palustrine Emergent,,DOM: Belowground Slow,,,,Aquatic,,,Lateral Transport: BG Slow -> Aquatic,,1.0,,,,,
,,,,,Wetland:Palustrine Emergent,,DOM: Belowground Slow,,,,Atmosphere,,,Emission: BG Slow -> Atmosphere,,1.0,,,,,
,,,,,Wetland:Palustrine Emergent,,DOM: Belowground Slow,,,,Deep Soil,,,Stabilization: BG Slow -> Deep Soil,,1.0,,,,,
,,,,,Wetland:Palustrine Emergent,,DOM: Belowground Very Fast,,,,Aquatic,,,Lateral Transport: BG Very Fast -> Aquatic,,1.0,,,,,
,,,,,Wetland:Palustrine Emergent,,DOM: Belowground Very Fast,,,,Atmosphere,,,Emission: BG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Wetland:Palustrine Emergent,,DOM: Belowground Very Fast,,,,DOM: Belowground Slow,,,Decay: BG Very Fast -> BG Slow,,1.0,,,,,
,,,,,Agriculture:All,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,,,Biomass Turnover: Coarse Roots -> AG Fast,,1.0,,,,,
,,,,,Agriculture:All,,Biomass: Coarse Root,,,,DOM: Belowground Fast,,,Biomass Turnover: Coarse Roots -> BG Fast,,1.0,,,,,
,,,,,Agriculture:All,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Fine Roots -> AG Very Fast,,1.0,,,,,
,,,,,Agriculture:All,,Biomass: Fine Root,,,,DOM: Belowground Very Fast,,,Biomass Turnover: Fine Roots -> BG Very Fast,,1.0,,,,,
,,,,,Agriculture:All,,Biomass: Foliage,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Foliage -> AG Very Fast,,1.0,,,,,
,,,,,Agriculture:All,,Biomass: Merchantable,,,,DOM: Snag Stem,,,Biomass Turnover: Merchantable -> Snag Stems,,1.0,,,,,
,,,,,Agriculture:All,,Biomass: Other Wood,,,,DOM: Aboveground Fast,,,Biomass Turnover: Other Wood -> AG Fast,,1.0,,,,,
,,,,,Agriculture:All,,Biomass: Other Wood,,,,DOM: Snag Branch,,,Biomass Turnover: Other Wood -> Snag Branches,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Aboveground Fast,,,,Atmosphere,,,Emission: AG Fast -> Atmosphere,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Aboveground Fast,,,,DOM: Aboveground Slow,,,Decay: AG Fast -> AG Slow,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Aboveground Medium,,,,Atmosphere,,,Emission: AG Medium -> Atmosphere,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Aboveground Medium,,,,DOM: Aboveground Slow,,,Decay: AG Medium -> AG Slow,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Aboveground Slow,,,,Atmosphere,,,Emission: AG Slow -> Atmosphere,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Aboveground Slow,,,,DOM: Belowground Slow,,,Transfer: AG Slow -> BG Slow,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Aboveground Very Fast,,,,Atmosphere,,,Emission: AG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Aboveground Very Fast,,,,DOM: Aboveground Slow,,,Decay: AG Very Fast -> AG Slow,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Belowground Fast,,,,Atmosphere,,,Emission: BG Fast -> Atmosphere,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Belowground Fast,,,,DOM: Belowground Slow,,,Decay: BG Fast -> BG Slow,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Belowground Slow,,,,Atmosphere,,,Emission: BG Slow -> Atmosphere,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Belowground Very Fast,,,,Atmosphere,,,Emission: BG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Belowground Very Fast,,,,DOM: Belowground Slow,,,Decay: BG Very Fast -> BG Slow,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Snag Branch,,,,Atmosphere,,,Emission: Snag Branch -> Atmosphere,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Snag Branch,,,,DOM: Aboveground Fast,,,Transfer: Snag Branch -> AG Fast,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Snag Branch,,,,DOM: Aboveground Slow,,,Decay: Snag Branch -> AG Slow,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Snag Stem,,,,Atmosphere,,,Emission: Snag Stem -> Atmosphere,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Snag Stem,,,,DOM: Aboveground Medium,,,Transfer: Snag Stem -> AG Medium,,1.0,,,,,
,,,,,Agriculture:All,,DOM: Snag Stem,,,,DOM: Aboveground Slow,,,Decay: Snag Stem -> AG Slow,,1.0,,,,,
,,,,,Agriculture:All,,Atmosphere,,,,Biomass: Coarse Root,,NPP,Net Growth Wetland Forested: Atmosphere -> Coarse Roots,,1.0,,,,,
,,,,,Agriculture:All,,Atmosphere,,,,Biomass: Fine Root,,NPP,Net Growth Wetland Forested: Atmosphere -> Fine Roots,,1.0,,,,,
,,,,,Agriculture:All,,Atmosphere,,,,Biomass: Foliage,,NPP,Net Growth Wetland Forested: Atmosphere -> Foliage,,1.0,,,,,
,,,,,Agriculture:All,,Atmosphere,,,,Biomass: Merchantable,,NPP,Net Growth Wetland Forested: Atmosphere -> Merchantable,,1.0,,,,,
,,,,,Agriculture:All,,Atmosphere,,,,Biomass: Other Wood,,NPP,Net Growth Wetland Forested: Atmosphere -> Other Wood,,1.0,,,,,
,,,,,Grassland:All,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,,,Biomass Turnover: Coarse Roots -> AG Fast,,1.0,,,,,
,,,,,Grassland:All,,Biomass: Coarse Root,,,,DOM: Belowground Fast,,,Biomass Turnover: Coarse Roots -> BG Fast,,1.0,,,,,
,,,,,Grassland:All,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Fine Roots -> AG Very Fast,,1.0,,,,,
,,,,,Grassland:All,,Biomass: Fine Root,,,,DOM: Belowground Very Fast,,,Biomass Turnover: Fine Roots -> BG Very Fast,,1.0,,,,,
,,,,,Grassland:All,,Biomass: Foliage,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Foliage -> AG Very Fast,,1.0,,,,,
,,,,,Grassland:All,,Biomass: Merchantable,,,,DOM: Snag Stem,,,Biomass Turnover: Merchantable -> Snag Stems,,1.0,,,,,
,,,,,Grassland:All,,Biomass: Other Wood,,,,DOM: Aboveground Fast,,,Biomass Turnover: Other Wood -> AG Fast,,1.0,,,,,
,,,,,Grassland:All,,Biomass: Other Wood,,,,DOM: Snag Branch,,,Biomass Turnover: Other Wood -> Snag Branches,,1.0,,,,,
,,,,,Grassland:All,,DOM: Aboveground Fast,,,,DOM: Aboveground Slow,,,Decay: AG Fast -> AG Slow,,1.0,,,,,
,,,,,Grassland:All,,DOM: Aboveground Medium,,,,DOM: Aboveground Slow,,,Decay: AG Medium -> AG Slow,,1.0,,,,,
,,,,,Grassland:All,,DOM: Aboveground Very Fast,,,,DOM: Aboveground Slow,,,Decay: AG Very Fast -> AG Slow,,1.0,,,,,
,,,,,Grassland:All,,DOM: Belowground Fast,,,,DOM: Belowground Slow,,,Decay: BG Fast -> BG Slow,,1.0,,,,,
,,,,,Grassland:All,,DOM: Belowground Very Fast,,,,DOM: Belowground Slow,,,Decay: BG Very Fast -> BG Slow,,1.0,,,,,
,,,,,Grassland:All,,DOM: Snag Branch,,,,DOM: Aboveground Slow,,,Decay: Snag Branch -> AG Slow,,1.0,,,,,
,,,,,Grassland:All,,DOM: Snag Stem,,,,DOM: Aboveground Slow,,,Decay: Snag Stem -> AG Slow,,1.0,,,,,
,,,,,Grassland:All,,DOM: Aboveground Fast,,,,Atmosphere,,,Emission: AG Fast -> Atmosphere,,1.0,,,,,
,,,,,Grassland:All,,DOM: Aboveground Medium,,,,Atmosphere,,,Emission: AG Medium -> Atmosphere,,1.0,,,,,
,,,,,Grassland:All,,DOM: Aboveground Slow,,,,Atmosphere,,,Emission: AG Slow -> Atmosphere,,1.0,,,,,
,,,,,Grassland:All,,DOM: Aboveground Very Fast,,,,Atmosphere,,,Emission: AG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Grassland:All,,DOM: Belowground Fast,,,,Atmosphere,,,Emission: BG Fast -> Atmosphere,,1.0,,,,,
,,,,,Grassland:All,,DOM: Belowground Slow,,,,Atmosphere,,,Emission: BG Slow -> Atmosphere,,1.0,,,,,
,,,,,Grassland:All,,DOM: Belowground Very Fast,,,,Atmosphere,,,Emission: BG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Grassland:All,,DOM: Snag Branch,,,,Atmosphere,,,Emission: Snag Branch -> Atmosphere,,1.0,,,,,
,,,,,Grassland:All,,DOM: Snag Stem,,,,Atmosphere,,,Emission: Snag Stem -> Atmosphere,,1.0,,,,,
,,,,,Grassland:All,,Atmosphere,,,,Biomass: Coarse Root,,NPP,Net Growth Grassland: Atmosphere -> Coarse Roots,,1.0,,,,,
,,,,,Grassland:All,,Atmosphere,,,,Biomass: Fine Root,,NPP,Net Growth Grassland: Atmosphere -> Fine Roots,,1.0,,,,,
,,,,,Grassland:All,,Atmosphere,,,,Biomass: Foliage,,NPP,Net Growth Grassland: Atmosphere -> Foliage,,1.0,,,,,
,,,,,Grassland:All,,Atmosphere,,,,Biomass: Merchantable,,NPP,Net Growth Grassland: Atmosphere -> Merchantable,,1.0,,,,,
,,,,,Grassland:All,,Atmosphere,,,,Biomass: Other Wood,,NPP,Net Growth Grassland: Atmosphere -> Other Wood,,1.0,,,,,
,,,,,Grassland:All,,DOM: Aboveground Slow,,,,DOM: Belowground Slow,,,Transfer: AG Slow -> BG Slow,,1.0,,,,,
,,,,,Grassland:All,,DOM: Snag Branch,,,,DOM: Aboveground Fast,,,Transfer: Snag Branch -> AG Fast,,1.0,,,,,
,,,,,Grassland:All,,DOM: Snag Stem,,,,DOM: Aboveground Medium,,,Transfer: Snag Stem -> AG Medium,,1.0,,,,,
,,,,,Shrubland:All,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,,,Biomass Turnover: Coarse Roots -> AG Fast,,1.0,,,,,
,,,,,Shrubland:All,,Biomass: Coarse Root,,,,DOM: Belowground Fast,,,Biomass Turnover: Coarse Roots -> BG Fast,,1.0,,,,,
,,,,,Shrubland:All,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Fine Roots -> AG Very Fast,,1.0,,,,,
,,,,,Shrubland:All,,Biomass: Fine Root,,,,DOM: Belowground Very Fast,,,Biomass Turnover: Fine Roots -> BG Very Fast,,1.0,,,,,
,,,,,Shrubland:All,,Biomass: Foliage,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Foliage -> AG Very Fast,,1.0,,,,,
,,,,,Shrubland:All,,Biomass: Merchantable,,,,DOM: Snag Stem,,,Biomass Turnover: Merchantable -> Snag Stems,,1.0,,,,,
,,,,,Shrubland:All,,Biomass: Other Wood,,,,DOM: Aboveground Fast,,,Biomass Turnover: Other Wood -> AG Fast,,1.0,,,,,
,,,,,Shrubland:All,,Biomass: Other Wood,,,,DOM: Snag Branch,,,Biomass Turnover: Other Wood -> Snag Branches,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Aboveground Fast,,,,DOM: Aboveground Slow,,,Decay: AG Fast -> AG Slow,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Aboveground Medium,,,,DOM: Aboveground Slow,,,Decay: AG Medium -> AG Slow,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Aboveground Very Fast,,,,DOM: Aboveground Slow,,,Decay: AG Very Fast -> AG Slow,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Belowground Fast,,,,DOM: Belowground Slow,,,Decay: BG Fast -> BG Slow,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Belowground Very Fast,,,,DOM: Belowground Slow,,,Decay: BG Very Fast -> BG Slow,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Snag Branch,,,,DOM: Aboveground Slow,,,Decay: Snag Branch -> AG Slow,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Snag Stem,,,,DOM: Aboveground Slow,,,Decay: Snag Stem -> AG Slow,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Aboveground Fast,,,,Atmosphere,,,Emission: AG Fast -> Atmosphere,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Aboveground Medium,,,,Atmosphere,,,Emission: AG Medium -> Atmosphere,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Aboveground Slow,,,,Atmosphere,,,Emission: AG Slow -> Atmosphere,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Aboveground Very Fast,,,,Atmosphere,,,Emission: AG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Belowground Fast,,,,Atmosphere,,,Emission: BG Fast -> Atmosphere,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Belowground Slow,,,,Atmosphere,,,Emission: BG Slow -> Atmosphere,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Belowground Very Fast,,,,Atmosphere,,,Emission: BG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Snag Branch,,,,Atmosphere,,,Emission: Snag Branch -> Atmosphere,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Snag Stem,,,,Atmosphere,,,Emission: Snag Stem -> Atmosphere,,1.0,,,,,
,,,,,Shrubland:All,,Atmosphere,,,,Biomass: Coarse Root,,NPP,Net Growth Shrubland: Atmosphere -> Coarse Roots,,1.0,,,,,
,,,,,Shrubland:All,,Atmosphere,,,,Biomass: Fine Root,,NPP,Net Growth Shrubland: Atmosphere -> Fine Roots,,1.0,,,,,
,,,,,Shrubland:All,,Atmosphere,,,,Biomass: Foliage,,NPP,Net Growth Shrubland: Atmosphere -> Foliage,,1.0,,,,,
,,,,,Shrubland:All,,Atmosphere,,,,Biomass: Merchantable,,NPP,Net Growth Shrubland: Atmosphere -> Merchantable,,1.0,,,,,
,,,,,Shrubland:All,,Atmosphere,,,,Biomass: Other Wood,,NPP,Net Growth Shrubland: Atmosphere -> Other Wood,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Aboveground Slow,,,,DOM: Belowground Slow,,,Transfer: AG Slow -> BG Slow,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Snag Branch,,,,DOM: Aboveground Fast,,,Transfer: Snag Branch -> AG Fast,,1.0,,,,,
,,,,,Shrubland:All,,DOM: Snag Stem,,,,DOM: Aboveground Medium,,,Transfer: Snag Stem -> AG Medium,,1.0,,,,,
,,,,,Forest:All,,Atmosphere,,,,Biomass: Coarse Root,,NPP,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0,,,,,
,,,,,Forest:All,,Atmosphere,,,,Biomass: Fine Root,,NPP,Net Growth Forest: Atmosphere -> Fine Roots,,1.0,,,,,
,,,,,Forest:All,,Atmosphere,,,,Biomass: Foliage,,NPP,Net Growth Forest: Atmosphere -> Foliage,,1.0,,,,,
,,,,,Forest:All,,Atmosphere,,,,Biomass: Merchantable,,NPP,Net Growth Forest: Atmosphere -> Merchantable,,1.0,,,,,
,,,,,Forest:All,,Atmosphere,,,,Biomass: Other Wood,,NPP,Net Growth Forest: Atmosphere -> Other Wood,,1.0,,,,,
,,,,,Forest:All,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,,,Biomass Turnover: Coarse Roots -> AG Fast,,1.0,,,,,
,,,,,Forest:All,,Biomass: Coarse Root,,,,DOM: Belowground Fast,,,Biomass Turnover: Coarse Roots -> BG Fast,,1.0,,,,,
,,,,,Forest:All,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Fine Roots -> AG Very Fast,,1.0,,,,,
,,,,,Forest:All,,Biomass: Fine Root,,,,DOM: Belowground Very Fast,,,Biomass Turnover: Fine Roots -> BG Very Fast,,1.0,,,,,
,,,,,Forest:All,,Biomass: Foliage,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Foliage -> AG Very Fast,,1.0,,,,,
,,,,,Forest:All,,Biomass: Merchantable,,,,DOM: Snag Stem,,,Biomass Turnover: Merchantable -> Snag Stems,,1.0,,,,,
,,,,,Forest:All,,Biomass: Other Wood,,,,DOM: Aboveground Fast,,,Biomass Turnover: Other Wood -> AG Fast,,1.0,,,,,
,,,,,Forest:All,,Biomass: Other Wood,,,,DOM: Snag Branch,,,Biomass Turnover: Other Wood -> Snag Branches,,1.0,,,,,
,,,,,Forest:All,,DOM: Aboveground Fast,,,,Atmosphere,,,Emission: AG Fast -> Atmosphere,,1.0,,,,,
,,,,,Forest:All,,DOM: Aboveground Fast,,,,DOM: Aboveground Slow,,,Decay: AG Fast -> AG Slow,,1.0,,,,,
,,,,,Forest:All,,DOM: Aboveground Medium,,,,Atmosphere,,,Emission: AG Medium -> Atmosphere,,1.0,,,,,
,,,,,Forest:All,,DOM: Aboveground Medium,,,,DOM: Aboveground Slow,,,Decay: AG Medium -> AG Slow,,1.0,,,,,
,,,,,Forest:All,,DOM: Aboveground Slow,,,,Atmosphere,,,Emission: AG Slow -> Atmosphere,,1.0,,,,,
,,,,,Forest:All,,DOM: Aboveground Slow,,,,DOM: Belowground Slow,,,Transfer: AG Slow -> BG Slow,,1.0,,,,,
,,,,,Forest:All,,DOM: Aboveground Very Fast,,,,Atmosphere,,,Emission: AG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Forest:All,,DOM: Aboveground Very Fast,,,,DOM: Aboveground Slow,,,Decay: AG Very Fast -> AG Slow,,1.0,,,,,
,,,,,Forest:All,,DOM: Belowground Fast,,,,Atmosphere,,,Emission: BG Fast -> Atmosphere,,1.0,,,,,
,,,,,Forest:All,,DOM: Belowground Fast,,,,DOM: Belowground Slow,,,Decay: BG Fast -> BG Slow,,1.0,,,,,
,,,,,Forest:All,,DOM: Belowground Slow,,,,Atmosphere,,,Emission: BG Slow -> Atmosphere,,1.0,,,,,
,,,,,Forest:All,,DOM: Belowground Very Fast,,,,Atmosphere,,,Emission: BG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Forest:All,,DOM: Belowground Very Fast,,,,DOM: Belowground Slow,,,Decay: BG Very Fast -> BG Slow,,1.0,,,,,
,,,,,Forest:All,,DOM: Snag Branch,,,,Atmosphere,,,Emission: Snag Branch -> Atmosphere,,1.0,,,,,
,,,,,Forest:All,,DOM: Snag Branch,,,,DOM: Aboveground Fast,,,Transfer: Snag Branch -> AG Fast,,1.0,,,,,
,,,,,Forest:All,,DOM: Snag Branch,,,,DOM: Aboveground Slow,,,Decay: Snag Branch -> AG Slow,,1.0,,,,,
,,,,,Forest:All,,DOM: Snag Stem,,,,Atmosphere,,,Emission: Snag Stem -> Atmosphere,,1.0,,,,,
,,,,,Forest:All,,DOM: Snag Stem,,,,DOM: Aboveground Medium,,,Transfer: Snag Stem -> AG Medium,,1.0,,,,,
,,,,,Forest:All,,DOM: Snag Stem,,,,DOM: Aboveground Slow,,,Decay: Snag Stem -> AG Slow,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Atmosphere,,,,Biomass: Coarse Root,,NPP,Net Growth Wetland Forested: Atmosphere -> Coarse Roots,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Atmosphere,,,,Biomass: Fine Root,,NPP,Net Growth Wetland Forested: Atmosphere -> Fine Roots,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Atmosphere,,,,Biomass: Foliage,,NPP,Net Growth Wetland Forested: Atmosphere -> Foliage,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Atmosphere,,,,Biomass: Merchantable,,NPP,Net Growth Wetland Forested: Atmosphere -> Merchantable,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Atmosphere,,,,Biomass: Other Wood,,NPP,Net Growth Wetland Forested: Atmosphere -> Other Wood,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,,,Biomass Turnover: Coarse Roots -> AG Fast,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Biomass: Coarse Root,,,,DOM: Belowground Fast,,,Biomass Turnover: Coarse Roots -> BG Fast,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Fine Roots -> AG Very Fast,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Biomass: Fine Root,,,,DOM: Belowground Very Fast,,,Biomass Turnover: Fine Roots -> BG Very Fast,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Biomass: Foliage,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Foliage -> AG Very Fast,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Biomass: Merchantable,,,,DOM: Snag Stem,,,Biomass Turnover: Merchantable -> Snag Stems,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Biomass: Other Wood,,,,DOM: Aboveground Fast,,,Biomass Turnover: Other Wood -> AG Fast,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Biomass: Other Wood,,,,DOM: Snag Branch,,,Biomass Turnover: Other Wood -> Snag Branches,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Aboveground Fast,,,,Atmosphere,,,Emission: AG Fast -> Atmosphere,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Aboveground Fast,,,,DOM: Aboveground Slow,,,Decay: AG Fast -> AG Slow,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Aboveground Medium,,,,Atmosphere,,,Emission: AG Medium -> Atmosphere,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Aboveground Medium,,,,DOM: Aboveground Slow,,,Decay: AG Medium -> AG Slow,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Aboveground Slow,,,,Atmosphere,,,Emission: AG Slow -> Atmosphere,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Aboveground Slow,,,,DOM: Belowground Slow,,,Transfer: AG Slow -> BG Slow,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Aboveground Very Fast,,,,Atmosphere,,,Emission: AG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Aboveground Very Fast,,,,DOM: Aboveground Slow,,,Decay: AG Very Fast -> AG Slow,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Belowground Fast,,,,Atmosphere,,,Emission: BG Fast -> Atmosphere,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Belowground Fast,,,,DOM: Belowground Slow,,,Decay: BG Fast -> BG Slow,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Belowground Slow,,,,Atmosphere,,,Emission: BG Slow -> Atmosphere,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Belowground Very Fast,,,,Atmosphere,,,Emission: BG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Belowground Very Fast,,,,DOM: Belowground Slow,,,Decay: BG Very Fast -> BG Slow,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Snag Branch,,,,Atmosphere,,,Emission: Snag Branch -> Atmosphere,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Snag Branch,,,,DOM: Aboveground Fast,,,Transfer: Snag Branch -> AG Fast,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Snag Branch,,,,DOM: Aboveground Slow,,,Decay: Snag Branch -> AG Slow,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Snag Stem,,,,Atmosphere,,,Emission: Snag Stem -> Atmosphere,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Snag Stem,,,,DOM: Aboveground Medium,,,Transfer: Snag Stem -> AG Medium,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,DOM: Snag Stem,,,,DOM: Aboveground Slow,,,Decay: Snag Stem -> AG Slow,,1.0,,,,,
